country,rank,name,id,releaseDate,Primary_Genre,Artist
us,127,WTF with Marc Maron Podcast,329875043,2020-11-02,Comedy,Marc Maron
us,128,Inside Jokes with Kevin Hart,1549388085,2021-01-27,Comedy Interviews,SiriusXM
us,129,Evil By Design,1545659686,2021-01-27,True Crime,CBC Podcasts
us,130,Jensen and Holes: The Murder Squad,1455668750,2020-11-04,True Crime,Exactly Right
us,131,REAL AF with Andy Frisella,1012570406,2021-01-23,Business,Andy Frisella #100to0
us,132,Global News Podcast,135067274,2020-11-04,News,BBC World Service
us,133,The Morning Toast,1368081567,2021-01-14,Comedy,Toast News Network
us,134,The Way I Heard It with Mike Rowe,1087110764,2020-10-27,Society & Culture,Mike Rowe
us,135,The MeatEater Podcast,960902903,2021-02-15,Wilderness,MeatEater
us,136,Criminal,809264944,2020-10-23,True Crime,Criminal & Radiotopia
us,137,Sword and Scale,790487079,2020-10-26,True Crime,Incongruity
us,138,Joel Osteen Podcast,137254859,2020-10-28,Christianity,Joel Osteen
us,139,And That's Why We Drink,1204570053,2020-10-25,Comedy,Kast Media
us,140,Bannon's War Room,1485351658,2020-10-27,Politics,WarRoom.org
us,141,BECOMING:us with Moriah & Joel Smallbone,1553385816,2021-02-11,Christianity,AccessMore
us,142,Dan Carlin's Hardcore History,173001861,2020-06-03,History,Dan Carlin
us,143,Code Switch,1112190608,2020-10-28,News,NPR
us,144,Giggly Squad,1536352412,2021-02-23,After Shows,Hannah Berner & Paige DeSorbo
us,145,The Vanished Podcast,1081124929,2020-10-26,True Crime,Wondery
us,146,Empty Inside,1524250628,2021-02-24,Self-Improvement,Jennette McCurdy
us,147,Nice White Parents,1524080195,2020-08-20,Society & Culture,Serial & The New York Times
us,148,The Rubin Report,1052842770,2021-02-08,News Commentary,Blaze Podcast Network
us,149,Bachelor Happy Hour,1473649053,2021-01-19,TV & Film,Bachelor Nation | Wondery
us,150,Nothing much happens; bedtime stories to help you sleep,1378040733,2021-02-22,Alternative Health,Curiouscast
us,151,The Tim Dillon Show,1135137367,2020-11-01,Comedy Interviews,Tim Dillon
us,152,The Journal.,1469394914,2021-01-07,Daily News,The Wall Street Journal & Gimlet
us,153,Pivot,1073226719,2021-02-16,News Commentary,New York Magazine
us,154,The Investing for Beginners Podcast - Your Path to Financial Freedom,1210741497,2021-01-07,Investing,Andrew Sather and Dave Ahern
us,155,Coffee Convos Podcast with Kail Lowry & Lindsie Chrisley,1305546061,2021-02-25,Society & Culture,Kail Lowry & Lindsie Chrisley
us,156,The Indicator from Planet Money,1320118593,2021-01-19,Business,NPR
us,157,Serendipity With Inky Johnson,1553377190,2021-03-01,Self-Improvement,The Resonance Network
us,158,This Is Important,1529931681,2020-12-29,Comedy,iHeartRadio
us,159,Verdict with Ted Cruz,1495601614,2020-10-28,Politics,Ted Cruz
us,160,Unashamed with Phil & Jase Robertson,1460147025,2020-10-26,Religion & Spirituality,Unashamed with Phil & Jase Robertson
us,161,The Chris Rose Rotation,1555532184,2021-03-01,Baseball,Jomboy Media
us,162,"Follow Him: A Come, Follow Me Podcast with Hank Smith & John Bytheway",1545433056,2020-12-27,Christianity,David Perry
us,163,"My Brother, My Brother And Me",367330921,2020-10-27,Comedy,The McElroys
us,164,This Is Actually Happening,497227384,2020-10-27,True Crime,Wondery
us,165,This is Tulsi Gabbard,1549623127,2021-01-19,Society & Culture,Tulsi Media
us,166,TED Radio Hour,523121474,2020-10-23,Technology,NPR
us,167,The School of Greatness,596047499,2021-02-17,Alternative Health,Lewis Howes
us,168,FiveThirtyEight Politics,1077418457,2020-10-27,Politics,"FiveThirtyEight, 538, ABC News, Nate Silver"
us,169,The Food That Built America,1551644089,2021-02-04,History,The HISTORY Channel & OZY
us,170,Life Kit,1461493560,2020-12-24,Health & Fitness,NPR
us,171,Spittin Chiclets,1112425552,2021-02-16,Hockey,Barstool Sports
us,172,SweeTalks,1553695333,2021-02-19,Comedy,sweetea
us,173,The Read,619369512,2021-02-16,Comedy,Loud Speakers Network
us,174,Through The Cracks,1545174922,2021-02-25,True Crime,WAMU
us,175,Bad Friends,1496265971,2021-02-15,Comedy,Andrew Santino and Bobby Lee
us,176,The Happiness Lab with Dr. Laurie Santos,1474245040,2020-10-12,Society & Culture,Pushkin Industries
us,177,Tenfold More Wicked,1538204210,2021-01-25,True Crime,Exactly Right
us,178,WHOA That's Good Podcast,1433974017,2020-10-28,Christianity,Sadie Robertson
us,179,48 Hours,965818306,2020-12-27,True Crime,CBS News Radio
us,180,Business Wars,1335814741,2021-01-18,Management,Wondery
us,181,Deep Cover: The Real Donnie Brasco,1515609437,2020-12-21,True Crime,Jam Street Media
us,182,The Herd with Colin Cowherd,1042368254,2021-02-17,Football,iHeartRadio
us,183,Motley Fool Money,306106212,2021-01-22,Investing,The Motley Fool
us,184,Odessa,1554535631,2021-02-26,Documentary,The New York Times
us,185,Elevation with Steven Furtick,216015753,2021-02-22,Christianity,Elevation Church
us,186,Impaulsive with Logan Paul,1442164847,2021-02-09,Comedy,Logan Paul
us,187,Conspiracy Theories,1337195586,2020-10-28,History,Parcast Network
us,188,A Word … with Jason Johnson,1549266269,2021-02-26,News Commentary,Slate Podcasts
us,189,DISGRACELAND,1275172907,2021-03-02,Music,Jake Brennan
us,190,That Happens,1555616752,2021-02-19,Comedy,"Harmontown LLC, Starburns Audio LLC"
us,191,The Bill Bert Podcast,1484912138,2021-02-24,Comedy,All Things Comedy
us,192,Relatable with Allie Beth Stuckey,1359249098,2021-02-25,News Commentary,Blaze Podcast Network
us,193,The Joe Budden Podcast with Rory & Mal,1535809341,2020-10-28,Music,The Joe Budden Network
us,194,Do No Harm,1537865727,2021-02-16,True Crime,Wondery | NBC News
us,195,BibleProject,1050832450,2020-12-21,Christianity,BibleProject
us,196,Marketplace,201853034,2021-03-03,Business News,Marketplace
us,197,20/20,987967575,2020-11-22,News,ABC News
us,198,The Experiment,1549704404,2021-01-25,Documentary,The Atlantic and WNYC Studios
us,199,Up and Vanished,1140596919,2020-10-15,True Crime,Tenderfoot TV
us,200,HISTORY This Week,1493453604,2021-03-01,History,The HISTORY Channel
ca,1,Dateline NBC,1464919521,2020-10-28,True Crime,NBC News
ca,2,Mommy Doomsday,1540849480,2021-02-09,True Crime,NBC News
ca,3,SmartLess,1521578868,2020-10-26,Comedy Interviews,"Will Arnett, Jason Bateman, Sean Hayes"
